,User,Date,Content,Views,Likes,Retweets,comments,score,Location,Categories
31,mvpfloorservice,15/02/2023,@angfab3_5 @SueRic2 @JoJoFromJerz They are including job numbers during the plandemic. Biden should of had great job numbers after the economy opened up but he is a Chinese Failure like a cheap toy made in China. How bout look at the jobs numbers through 2019 and inflation and gas prices; the economy as a whole.,19,1,0,0,21,None,[2]
32,flash474,16/02/2023,"Rep. Marjorie Taylor has embraced QAnon conspiracy theories, insisted that 9/11 was an inside job and mass killings at Sandy Hook and Parkland were staged, voiced support for executing Democrats, attended white-nationalist rallies, and blamed wildfires on a Jewish space laser",21,0,0,0,21,None,[4]
33,Bezuhov00,24/02/2023,@yorkspride They are not 'wet' - inane expression:  they are puppets of the globalists / WEF.,75,0,0,0,75,None,[1]
34,1776Revolution2,05/02/2023,@magiccatterfly Definitely deep state in my opinion. https://t.co/Y87ZsJTcGK,31,1,0,0,33,None,[1]
35,MsAvaArmstrong,05/02/2023,"Even when President Trump was in office, he was surrounded by deep state traitors.",7395,546,112,56,9103,None,[1]
36,Destopia,06/02/2023,"@Pansexual_Satan @Keltic_Witch @Grumpa @FrankMikeDavis1 And vaccinations, and their own government made up of their fellow country folk (aka deep state), and taxes, and interest rates…",61,1,0,3,78,None,[1]
37,OKINsenga,05/02/2023,"@ViewsParallax @The_Wub_ Basically, some guy said that the deep state exists, and this Arne Ness guy QT’d him and made fun of him for it. Arne got a lot of hate for it, so he’s spent the past few days leaning into the controversy by saying mean stuff about people on parapolitics twitter. https://t.co/DP02XyHLvu",69,0,0,1,74,None,[1]
38,hollowsrfree,05/02/2023,"@RF60006319 @Jamesritchey1 @Shayan86 @HamlinIsland the UAW is now an organization that’s part of the deep state, the government didn’t make them get vaccinated because they want them to survive the great reset. makes sense",72,2,0,1,81,None,"[1, 5]"
39,Billy_Jean_16,05/02/2023,"Was ist da los bei euch @DHLPaket? (1/2)
Vergangenen Dienstag klingelte zwar der Zusteller zog aber sofort weiter. Ich konnte ihn 2 Häuser weiter abfangen 🏃‍♀️ + er erklärte er müsse pünktlich Feierabend machen daher könne er nicht warten! Das Paket hat er mir dann ausgehändigt....",23,0,0,0,23,None,[1]
40,achfordw,05/02/2023,@trussliz @Telegraph Politicians are always in denail &amp;  appear to give themselves the power that they don't have. We all know that the deep state make decisions for you politicians to implement. You were warned  before assuming the reigns that the deep state doesn't  want you.,10,0,0,0,10,None,[1]
41,Sample1Chris,05/02/2023,@McNicollb @crooksandliars But you Qberts say never to trust the “deep state” government.,3,0,0,0,3,None,[1]
42,LionessMamma,05/02/2023,@GabeHoff Has to be part bot on this stuff and agree it’s internally still compromised as well as just evil mindset running amuck while lectures on free speech and truth line the lips of deep state pedophiles.,7,0,0,0,7,None,[1]
43,mazymae60,05/02/2023,@action_liberty Yip lockdown scamdemic will start very soon. In UK many countries have started stting up their Toll Barriers,2,0,0,0,2,None,[2]
44,GloriaSaul6,05/02/2023,"@jasonselvig You are lying,and trying to invite violence again. Kennedy was Democrat not Republican.  You are QANON MAGA Trash.",3,0,0,0,3,None,[3]
45,Existence_138,05/02/2023,"@BlondFather @375NorseLegend @Miller_Congress Why do you say 'ignore'....? No one ignored a subpoena. Also, imagine being put in jail for no crime. You seem to be fine with the deep state creating crimes out of thin air. The PRA is not a criminal statute, ALL of this should be civil law. And of course Trump complied.",9,0,0,1,14,None,[1]
46,DeplorableDamn,05/02/2023,@TaxReformExpert Infuriates me to know how much money was wasted during the plandemic.,66,1,0,0,68,None,[2]
47,DannyR2020,05/02/2023,Funny to me how the “globalists”tried to make everyone scared about this one virus….but actually woke everyone up to all the OTHER vxnes in the process-Couldn’t leave well enough alone.,433,3,2,2,455,None,[1]
48,AaronWi62181751,05/02/2023,@IsleBfrank @realMWO @Foley7647 @eatsbricks @hodgetwins You're talking about the plandemic rn? I think we're all most concerned with China military missions right over our homes! Biden got punked by a balloon 🎈,105,1,0,0,107,None,[2]
